Model,F1,Recall,AP,Matthews
DL-ANN,0.8633093525179857,0.8450704225352113,0.8474089474133685,0.8632810922647761
XGBoost,0.806282722513089,0.8105263157894737,0.8184079343318118,0.8059576819985212
LightGBM,0.8020833333333334,0.8105263157894737,0.8024002644917231,0.8017818010540274
Logistic Regression,0.7978723404255319,0.7894736842105263,0.7905187878972794,0.7975724573464058
MLP,0.8457142857142858,0.7789473684210526,0.8260022812704898,0.8486037874124611
SVM,0.8409090909090909,0.7789473684210526,0.7995625976608309,0.8433372094127066
Autoencoder,0.8427230046948357,0.758985200845666,0.7962427656800392,0.8463948741921732
RF,0.8135593220338984,0.7578947368421053,0.766185526280247,0.8154706899333375
HGB,0.8068181818181818,0.7473684210526316,0.7729415712514944,0.8090832566208127
